Nom,Lien Profil,Image,Traits,Tags,Anime Associé,Manga Associé
Shizuo HEIWAJIMA,https://www.anime-planet.com/characters/shizuo-heiwajima,https://cdn.anime-planet.com/characters/primary/shizuo-heiwajima-1-190x266.jpg?t=1625966815,"Male, Blonde Hair","Adult, Bodyguard, Bow Tie, Hot-Headed, Smoker, Sunglasses",Durarara!!,Durarara!!
Yoruichi SHIHOUIN,https://www.anime-planet.com/characters/yoruichi-shihouin,https://cdn.anime-planet.com/characters/primary/yoruichi-shihouin-1-190x266.jpg?t=1625965493,"Female, Purple Hair","Agent of the Afterlife, Dark-skinned, Martial Artist, Nobility, Ponytail, Shapeshifter, Shinigami",Bleach,Bleach
Nami,https://www.anime-planet.com/characters/nami,https://cdn.anime-planet.com/characters/primary/nami-1-190x266.jpg?t=1625965216,"Female, Orange Hair","Bossy, Manipulative, Orphan, Pirate, Sailor, Tattoo, Thief, Treasure Hunter",ARASHI: A-RA-SHI : Reborn,Chopperman
Tobio KAGEYAMA,https://www.anime-planet.com/characters/tobio-kageyama,https://cdn.anime-planet.com/characters/primary/tobio-kageyama-1-190x266.jpg?t=1625990149,"Male, Black Hair","Analytical, Athlete, High School Student, Hot-Headed, Teenager, Volleyball Player",Haikyuu!!,Haikyuu!!
Alex Louis ARMSTRONG,https://www.anime-planet.com/characters/alex-louis-armstrong,https://cdn.anime-planet.com/characters/primary/alex-louis-armstrong-1-190x266.jpg?t=1625966007,"Male, Blonde Hair","Adult, Alchemist, Artist, Cleft Chin, Facial Hair, Hair Antenna, Magnificent Mustache, Military, Muscular, No Eyebrows",Fullmetal Alchemist,Fullmetal Alchemist
Izaya ORIHARA,https://www.anime-planet.com/characters/izaya-orihara,https://cdn.anime-planet.com/characters/primary/izaya-orihara-1-190x266.jpg?t=1625966860,"Male, Black Hair","Adult, Analytical, Information Broker, Knife Fighter, Manipulative, Mischievous, Sadistic",Durarara!!,Durarara!!
Megumi FUSHIGURO,https://www.anime-planet.com/characters/megumi-fushiguro,https://cdn.anime-planet.com/characters/primary/megumi-fushiguro-1-190x266.jpg?t=1626010652,"Male, Black Hair","Darkness Powers, Elemental Powers, Exorcist, Summoners, Sword Fighter, Teenager",Eve: Kaikai Kitan,Jujutsu Kaisen
Franken STEIN,https://www.anime-planet.com/characters/franken-stein-soul-eater,https://cdn.anime-planet.com/characters/primary/franken-stein-soul-eater-1-190x266.jpg?t=1625965740,"Male, Grey Hair","Adult, Doctor, Eye Bags, Glasses, Sadistic, Scar, Scientist, Smoker, Teacher",Soul Eater,Soul Eater
Robin NICO,https://www.anime-planet.com/characters/robin-nico,https://cdn.anime-planet.com/characters/primary/robin-nico-1-190x267.jpg?t=1625965218,"Female, Black Hair","Adult, Archaeologist, Pirate, Sailor, Superpowers",ARASHI: A-RA-SHI : Reborn,Cross Epoch
Neji HYUGA,https://www.anime-planet.com/characters/neji-hyuga,https://cdn.anime-planet.com/characters/primary/neji-hyuga-1-285x399.webp?t=1725922453,"Male, Black Hair","Exotic Eyes, Headband, Ninja, Teenager",Naruto,Naruto
Spike SPIEGEL,https://www.anime-planet.com/characters/spike-spiegel,https://cdn.anime-planet.com/characters/primary/spike-spiegel-1-190x267.jpg?t=1625965254,"Male, Black Hair","Adult, Bounty Hunter, Gunslinger, Heterochromia, Martial Artist, Pilot, Smoker",Cowboy Bebop,Cowboy Bebop
Kyoya OOTORI,https://www.anime-planet.com/characters/kyoya-ootori,https://cdn.anime-planet.com/characters/primary/kyoya-ootori-1-190x266.jpg?t=1625965197,"Male, Black Hair","Glasses, High School Student, Host, Teenager, Wealthy",Ouran High School Host Club,Ouran High School Host Club
Touka KIRISHIMA,https://www.anime-planet.com/characters/touka-kirishima,https://cdn.anime-planet.com/characters/primary/touka-kirishima-1-190x266.jpg?t=1625989960,"Female, Blue Hair","Blinding Bangs, Exotic Eyes, Monster, Part Time Employee, Waiter",Tokyo Ghoul,Tokyo Ghoul
Shiro,https://www.anime-planet.com/characters/shiro-no-game-no-life,https://cdn.anime-planet.com/characters/primary/shiro-no-game-no-life-1-190x266.jpg?t=1625990607,"Female, Multicolored Hair","Analytical, Brother Complex, Child, Child Prodigy, NEET, Person in a Strange World, Rapunzel Hair, Rosy Cheeks, Royalty, Video Gamer",No Game No Life,No Game No Life
Shota AIZAWA,https://www.anime-planet.com/characters/shota-aizawa,https://cdn.anime-planet.com/characters/primary/shota-aizawa-1-190x266.jpg?t=1625992615,"Male, Black Hair","Adult, Eye Bags, Facial Hair, Martial Artist, Scarf, Sleepyhead, Superpowers, Teacher",My Hero Academia,My Hero Academia
Maka ALBARN,https://www.anime-planet.com/characters/maka-albarn,https://cdn.anime-planet.com/characters/primary/maka-albarn-1-190x266.jpg?t=1625965240,"Female, Blonde Hair","Bookworm, High School Student, Pigtails, Scythe Wielder, Teenager, Warrior",Soul Eater,Soul Eater
Undertaker,https://www.anime-planet.com/characters/undertaker,https://cdn.anime-planet.com/characters/primary/undertaker-1-285x399.webp?t=1718590629,"Male, Grey Hair","Agent of the Afterlife, Blinding Bangs, Hat, Information Broker, Mischievous, Scar, Shinigami",Black Butler,Black Butler
Celty STURLUSON,https://www.anime-planet.com/characters/celty-sturluson,https://cdn.anime-planet.com/characters/primary/celty-sturluson-1-190x266.jpg?t=1625966780,Female,"Amnesia, Biker, Darkness Powers, Elemental Powers, Helmet, Immortal, Mercenary, Mute, Scythe Wielder, Undead",Durarara!!,Durarara!!
Haruhi SUZUMIYA,https://www.anime-planet.com/characters/haruhi-suzumiya,https://cdn.anime-planet.com/characters/primary/haruhi-suzumiya-1-190x266.jpg?t=1625965263,"Female, Brown Hair","Bisexual, Bossy, Club President, Hair Ribbons, Headband, High School Student, LGBT+, Mischievous, Selfish, Teenager",Lucky Star,Haruhi Suzumiya Series (Light Novel)
Saber,https://www.anime-planet.com/characters/saber-fate-stay-night,https://cdn.anime-planet.com/characters/primary/saber-fate-stay-night-1-190x266.jpg?t=1625966548,"Female, Blonde Hair","Armor, Braids, Gloves, Hair Antenna, Hair Buns, Hair Ribbons, Honorable Fighter, Immortal, Knight, Magical Familiar, Royalty, Sword Fighter",16bit Sensation: Another Layer,All Around Type-Moon: Ahnenerbe no Nichijou
Karma AKABANE,https://www.anime-planet.com/characters/karma-akabane,https://cdn.anime-planet.com/characters/primary/karma-akabane-1-190x267.jpg?t=1625990785,"Male, Red Hair","Analytical, Assassin, Bloodthirsty, Delinquent, Middle School Student, Mischievous, Teenager",Assassination Classroom,Assassination Classroom
Ryuuji TAKASU,https://www.anime-planet.com/characters/ryuuji-takasu,https://cdn.anime-planet.com/characters/primary/ryuuji-takasu-1-190x292.jpg?t=1625965237,"Male, Blue Hair","Cook, High School Student, Teenager",Toradora!,Toradora!
Byakuya KUCHIKI,https://www.anime-planet.com/characters/byakuya-kuchiki,https://cdn.anime-planet.com/characters/primary/byakuya-kuchiki-1-190x266.jpg?t=1625965228,"Male, Black Hair","Agent of the Afterlife, Big Ego, Gloves, Nobility, Shinigami, Stoic, Sword Fighter",Bleach,Bleach
Sakura HARUNO,https://www.anime-planet.com/characters/sakura-haruno,https://cdn.anime-planet.com/characters/primary/sakura-haruno-1-285x399.webp?t=1725333567,"Female, Pink Hair","Headband, Healing Powers, Ninja, Verbal Tic",Boruto: Naruto Next Generations,Boruto
Kurisu MAKISE,https://www.anime-planet.com/characters/kurisu-makise,https://cdn.anime-planet.com/characters/primary/kurisu-makise-1-190x266.jpg?t=1625972831,"Female, Red Hair","Scientist, Teenager, Tsundere",Steins;Gate,Chaos;Child: Children's Collapse
Mitsukuni HANINOZUKA,https://www.anime-planet.com/characters/mitsukuni-haninozuka,https://cdn.anime-planet.com/characters/primary/mitsukuni-haninozuka-1-190x266.jpg?t=1625965197,"Male, Blonde Hair","Big Eater, Hair Antenna, High School Student, Host, Martial Artist, Sweet Tooth, Teenager, Wealthy",Ouran High School Host Club,Ouran High School Host Club
Hei,https://www.anime-planet.com/characters/hei,https://cdn.anime-planet.com/characters/primary/hei-1-190x266.jpg?t=1625966475,"Male, Black Hair","Adult, Assassin, Big Eater, Knife Fighter, Martial Artist, Masks, Razor Floss, Secret Identity, Superpowers",Darker than Black,Darker Than Black
Eijiro KIRISHIMA,https://www.anime-planet.com/characters/eijiro-kirishima,https://cdn.anime-planet.com/characters/primary/eijiro-kirishima-1-190x266.jpg?t=1625993007,"Male, Red Hair","High School Student, Muscular, Scar, Sharp Teeth, Superpowers, Teenager",My Hero Academia,My Hero Academia
Koro-sensei,https://www.anime-planet.com/characters/koro-sensei,https://cdn.anime-planet.com/characters/primary/koro-sensei-1-190x267.jpg?t=1625981104,Male,"Hat, Monster, Octopus, Pervert, Superpowers, Teacher",Assassination Classroom,Assassination Classroom
Osamu DAZAI,https://www.anime-planet.com/characters/osamu-dazai,https://cdn.anime-planet.com/characters/primary/osamu-dazai-1-190x265.jpg?t=1626002781,"Male, Brown Hair","Adult, Analytical, Bandages, Detective, Mischievous, Superpowers",Bungo Stray Dogs,Bungo Stray Dogs
Kurapika,https://www.anime-planet.com/characters/kurapika,https://cdn.anime-planet.com/characters/primary/kurapika-1-190x266.jpg?t=1625966651,"Male, Blonde Hair","Analytical, Chain Fighter, Exotic Eyes, Orphan, Piercings, Teenager, Vengeful",Hunter x Hunter,Hunter x Hunter
Konata IZUMI,https://www.anime-planet.com/characters/konata-izumi,https://cdn.anime-planet.com/characters/primary/konata-izumi-1-190x266.jpg?t=1625965399,"Female, Blue Hair","Birthmark / Mole, Cosplayer, Hair Antenna, High School Student, Lazy, Mischievous, Otaku, Part Time Employee, Rapunzel Hair, Small Stature, Teenager, Video Gamer, Waiter",Kannagi,Lucky Star
Ulquiorra SCHIFFER,https://www.anime-planet.com/characters/ulquiorra-schiffer,https://cdn.anime-planet.com/characters/primary/ulquiorra-schiffer-1-190x266.jpg?t=1625965499,"Male, Black Hair","Face Markings, Horns, Ruthless, Stoic, Sword Fighter",Bleach,Bleach
Ban,https://www.anime-planet.com/characters/ban-nanatsu-no-taizai,https://cdn.anime-planet.com/characters/primary/ban-nanatsu-no-taizai-1-190x266.jpg?t=1625992263,"Male, Blue Hair","Adult, Cook, Heavy Drinker, Immortal, Magic User, Scar, Tattoo, Thief",Gekidan Nanatsu no Taizai,Fairy Tail x The Seven Deadly Sins Christmas Special
Ace D. PORTGAS,https://www.anime-planet.com/characters/ace-d-portgas,https://cdn.anime-planet.com/characters/primary/ace-d-portgas-1-190x266.jpg?t=1625965330,"Male, Black Hair","Adult, Big Eater, Elemental Powers, Fire Powers, Freckles, Hat, Muscular, Pirate, Sailor, Sleepyhead, Superpowers, Tattoo",ARASHI: A-RA-SHI : Reborn,One Piece
Saeko BUSUJIMA,https://www.anime-planet.com/characters/saeko-busujima,https://cdn.anime-planet.com/characters/primary/saeko-busujima-1-190x267.jpg?t=1625969032,"Female, Purple Hair","Club President, High School Student, Martial Artist, Teenager",Highschool of the Dead,Gakuen Mokushiroku: Highschool of the Head
Tsunade,https://www.anime-planet.com/characters/tsunade,https://cdn.anime-planet.com/characters/primary/tsunade-1-285x399.webp?t=1726321272,"Female, Blonde Hair","Adult, Beastmaster, Doctor, Face Markings, Gambler, Healing Powers, Heavy Drinker, Ninja, Pigtails",Naruto,Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi
Sora,https://www.anime-planet.com/characters/sora-no-game-no-life,https://cdn.anime-planet.com/characters/primary/sora-no-game-no-life-1-190x266.jpg?t=1625990607,"Male, Red Hair","Analytical, NEET, Person in a Strange World, Pervert, Royalty, Sister Complex, Teenager, Video Gamer",No Game No Life,No Game No Life
Tohru HONDA,https://www.anime-planet.com/characters/tohru-honda,https://cdn.anime-planet.com/characters/primary/tohru-honda-1-190x266.jpg?t=1625966015,"Female, Brown Hair","Airhead, Clumsy, Cook, Eternal Optimist, Hair Ribbons, High School Student, Orphan, Part Time Employee, Poor, Teenager",Fruits Basket,Fruits Basket
Mirajane STRAUSS,https://www.anime-planet.com/characters/mirajane-strauss,https://cdn.anime-planet.com/characters/primary/mirajane-strauss-1-190x266.jpg?t=1625965751,"Female, White Hair","Adult, Bartender, Magic User, Model, Shapeshifter, Waiter",Fairy Tail,Fairy Girls
Yuri NAKAMURA,https://www.anime-planet.com/characters/yuri-nakamura,https://cdn.anime-planet.com/characters/primary/yuri-nakamura-1-285x400.webp?t=1653439076,"Female, Purple Hair","Charismatic, Hair Ribbons, Headband",Angel Beats!,Angel Beats! Heaven's Door
All Might,https://www.anime-planet.com/characters/all-might,https://cdn.anime-planet.com/characters/primary/all-might-1-190x279.jpg?t=1625992613,"Male, Blonde Hair","Adult, Anti-Gravity Hair, Charismatic, Eye Bags, Masked Hero, Muscular, Scar, Sickly, Superpowers, Teacher",My Hero Academia,Deadpool: Samurai
Tony Tony Chopper,https://www.anime-planet.com/characters/tony-tony-chopper,https://cdn.anime-planet.com/characters/primary/tony-tony-chopper-1-190x266.jpg?t=1625965218,"Male, Brown Hair","Animal, Anthropomorphic, Deer, Doctor, Hat, Pirate, Sailor, Superpowers, Sweet Tooth",ARASHI: A-RA-SHI : Reborn,Chopperman
Near,https://www.anime-planet.com/characters/near,https://cdn.anime-planet.com/characters/primary/near-1-190x266.jpg?t=1625965726,"Male, White Hair","Analytical, Detective, Teenager",Death Note,Death Note
Rintaro OKABE,https://www.anime-planet.com/characters/rintaro-okabe,https://cdn.anime-planet.com/characters/primary/rintaro-okabe-1-190x266.jpg?t=1625972829,"Male, Black Hair","Analytical, Chuunibyou, Inventor, Scientist, Teenager",Steins;Gate,Magi-Cu 4-koma: Steins;Gate - Sekaisen Hendouritsu x. 091015%
Kamina,https://www.anime-planet.com/characters/kamina,https://cdn.anime-planet.com/characters/primary/kamina-1-130x200.jpg?t=1625965835,"Male, Blue Hair","Adult, Bandages, Charismatic, Hot-Headed, Mecha Pilot, Sunglasses, Tattoo",Gurren Lagann Movie 1: Childhood's End,Tengen Toppa Gurren Lagann
Genos,https://www.anime-planet.com/characters/genos,https://cdn.anime-planet.com/characters/primary/genos-1-190x291.jpg?t=1625980819,"Male, Blonde Hair","Cyborg, Piercings, Teenager, Vengeful",Go! Saitama,One-Punch Man
Rias GREMORY,https://www.anime-planet.com/characters/rias-gremory,https://cdn.anime-planet.com/characters/primary/rias-gremory-1-190x266.jpg?t=1625975953,"Female, Red Hair","Club President, Demon, Frequently-Naked, Hair Antenna, High School Student, Wings",High School DxD,High School DxD
Yu NISHINOYA,https://www.anime-planet.com/characters/yu-nishinoya,https://cdn.anime-planet.com/characters/primary/yu-nishinoya-1-190x267.jpg?t=1625990149,"Male, Multicolored Hair","Airhead, Athlete, High School Student, Teenager, Volleyball Player",Haikyuu!!,Haikyuu!!
Gintoki SAKATA,https://www.anime-planet.com/characters/gintoki-sakata,https://cdn.anime-planet.com/characters/primary/gintoki-sakata-1-190x266.jpg?t=1625966114,"Male, White Hair","Adult, Big Eater, Lazy, Poor, Samurai, Sweet Tooth, Sword Fighter",3-nen Z-gumi Ginpachi-sensei: Tokuhou Eizou,Gintama
Shuna,https://www.anime-planet.com/characters/shuna,https://cdn.anime-planet.com/characters/primary/shuna-1-190x266.jpg?t=1625997502,"Female, Pink Hair","Horns, Magic User, Monster",That Time I Got Reincarnated as a Slime,Tenchura! Tensei Shitara Slime Datta Ken
Kallen STADTFELD,https://www.anime-planet.com/characters/kallen-stadtfeld,https://cdn.anime-planet.com/characters/primary/kallen-stadtfeld-1-190x266.jpg?t=1625965656,"Female, Pink Hair","Headband, High School Student, Mecha Pilot, Student Council, Teenager, Terrorist",Code Geass: Lelouch of the Rebellion,Barcode Geass: Hanbai no Lelouch
Jinwoo SUNG,https://www.anime-planet.com/characters/jinwoo-sung,https://cdn.anime-planet.com/characters/primary/jinwoo-sung-1-285x399.webp?t=1707602345,"Male, Black Hair","Adult, Analytical, Bloodthirsty, Charismatic, Elemental Powers, Knife Fighter, Magic User, Ruthless, Superpowers",Solo Leveling,Only I Level Up (Novel)
Inuyasha,https://www.anime-planet.com/characters/inuyasha,https://cdn.anime-planet.com/characters/primary/inuyasha-1-190x266.jpg?t=1625965778,"Male, White Hair","Animal Ears, Barefoot, Broken Record, Half-Breed, Hot-Headed, Oversized Weapon, Sword Fighter, Traveler, Vengeful, Youkai",InuYasha,3.11 wo Wasurenai Tame ni: Heroes Comeback
Juuzou SUZUYA,https://www.anime-planet.com/characters/juuzou-suzuya,https://cdn.anime-planet.com/characters/primary/juuzou-suzuya-1-190x265.jpg?t=1625991947,Male,"Bloodthirsty, Detective, Knife Fighter, Police, Scar",Tokyo Ghoul,Tokyo Ghoul
Black Star,https://www.anime-planet.com/characters/black-star,https://cdn.anime-planet.com/characters/primary/black-star-1-190x266.jpg?t=1625965240,"Male, Turquoise Hair","Big Ego, Hot-Headed, Martial Artist, Ninja, Sword Fighter, Tattoo, Teenager",Soul Eater,Soul Eater
Might GUY,https://www.anime-planet.com/characters/might-guy,https://cdn.anime-planet.com/characters/primary/might-guy-1-285x399.webp?t=1725680850,"Male, Black Hair","Adult, Beastmaster, Bowl Cut, Epic Eyebrows, Eternal Optimist, Honorable Fighter, Ninja",Boruto: Naruto Next Generations,Naruto
Tomoya OKAZAKI,https://www.anime-planet.com/characters/tomoya-okazaki,https://cdn.anime-planet.com/characters/primary/tomoya-okazaki-1-190x266.jpg?t=1625965417,"Male, Blue Hair","Charismatic, Delinquent, Disabled, Mischievous",Clannad,Clannad
Grimmjow JEAGERJAQUES,https://www.anime-planet.com/characters/grimmjow-jeagerjaques,https://cdn.anime-planet.com/characters/primary/grimmjow-jeagerjaques-1-130x187.jpg?t=1625965499,"Male, Blue Hair","Bloodthirsty, Hot-Headed, Masks",Bleach,Bleach
Nagisa FURUKAWA,https://www.anime-planet.com/characters/nagisa-furukawa,https://cdn.anime-planet.com/characters/primary/nagisa-furukawa-1-190x266.jpg?t=1625965417,"Female, Brown Hair","Crybaby, Dandere, Eternal Optimist, Hair Antenna, Sickly",Clannad,Clannad
Shanks,https://www.anime-planet.com/characters/shanks,https://cdn.anime-planet.com/characters/primary/shanks-1-190x267.jpg?t=1625965586,"Male, Red Hair","Adult, Facial Hair, Pirate, Sailor, Scar, Sword Fighter",Hungry Days x Bump of Chicken: Kinen Satsuei,One Piece
Zero KIRYU,https://www.anime-planet.com/characters/zero-kiryu,https://cdn.anime-planet.com/characters/primary/zero-kiryu-1-285x399.webp?t=1719175729,"Male, Grey Hair","High School Student, Piercings, Tattoo, Teenager, Twin, Vampire",Vampire Knight,Vampire Knight
Wei Wuxian,https://www.anime-planet.com/characters/wei-wuxian,https://cdn.anime-planet.com/characters/primary/wei-wuxian-1-190x266.jpg?t=1626010464,"Male, Black Hair","Adult, Bisexual, Charismatic, Cultivator, Deadly Chef, Flirt, Flutist, Hair Ribbons, LGBT+, Mischievous, Musician, Necromancer, Orphan, Scar, Summoners, Sword Fighter, Uke",Mo Dao Zu Shi,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi
